"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-22 22:36:08,FALSE,NA,"1175901621844369408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TatiNV1",7,TRUE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex Suss",FALSE,0,NA,2019-09-22 21:03:07,FALSE,NA,"1175878213136003072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mamaamwami",5,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 20:42:19,FALSE,NA,"1175872979147927552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RabAnsari120",2151,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV",FALSE,42,NA,2019-09-22 20:27:51,FALSE,NA,"1175869340303773697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","royal_suitor",7,FALSE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex Suss",FALSE,0,NA,2019-09-22 19:38:22,FALSE,NA,"1175856885859176448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MmMin57",5,TRUE,FALSE,NA,NA
"Next Sunday will mark the date when theroyalwedding is closer to VEday than today",FALSE,1,NA,2019-09-22 19:16:15,FALSE,NA,"1175851319908810752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jim_Aram",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 19:14:40,FALSE,NA,"1175850919801446400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niket407",2151,TRUE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex Suss",FALSE,0,NA,2019-09-22 18:27:16,FALSE,NA,"1175838993612718080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NginguBanele",5,TRUE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex",FALSE,41,NA,2019-09-22 18:01:34,TRUE,NA,"1175832524611887105",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sussexpodcast",5,FALSE,FALSE,NA,NA
"She was at a revel with some rebels and a hot knight NOT YOUR KNIGHT IN SHINING ARMOUR is out now",FALSE,0,NA,2019-09-22 18:00:47,TRUE,NA,"1175832329249574915",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","K8JohnsonAuthor",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 17:07:13,FALSE,NA,"1175818847049244673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrsSlnk",2151,TRUE,FALSE,NA,NA
"Have a great timeand congratulationsroyalwedding",FALSE,0,NA,2019-09-22 15:16:51,FALSE,NA,"1175791073978966028",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cruisinteacher",1,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 14:22:21,FALSE,NA,"1175777358436917248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srimoyeesaha21",1376,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 14:22:14,FALSE,NA,"1175777325868175361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srimoyeesaha21",2151,TRUE,FALSE,NA,NA
"Customized bridal hand fan 
bridalhandfan msasoebiafrica dallaswedding bridalfans",FALSE,0,NA,2019-09-22 13:53:20,TRUE,NA,"1175770056460050433",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arinolaanu",0,FALSE,FALSE,"3.3902","6.4508"
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 12:14:41,FALSE,NA,"1175745229929865218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","igurikamboj",1376,TRUE,FALSE,NA,NA
"Champagne gold two tone wand bridal hand fan 
bridalhandfanhandfaninlagosclutchhandfan",FALSE,0,NA,2019-09-22 12:09:07,TRUE,NA,"1175743827526717440",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arinolaanu",0,FALSE,FALSE,"3.39583","6.45306"
"Ready for the RoyalWedding MeghanAndHarry weddings brides Bridesmaids theknot ecofriendly koozie fashion style pa",FALSE,0,NA,2019-09-22 11:55:43,FALSE,NA,"1175740455776075776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PilarMahl",6,TRUE,FALSE,NA,NA
"Be it a night out or celebration beneath the suncolour yellow disappoints none 

SKU Code YNL

yosshitanehafashi",FALSE,0,NA,2019-09-22 11:52:41,FALSE,NA,"1175739690764443649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">bridetobexoxo to zveil 1</a>","bridetobexoxo",1,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 11:27:09,FALSE,NA,"1175733267191848960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VivekYa59186584",2151,TRUE,FALSE,NA,NA
"Be it a night out or celebration beneath the suncolour yellow disappoints none 

SKU Code YNL",FALSE,0,NA,2019-09-22 11:20:00,TRUE,NA,"1175731466136903680",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","YosshitaNeha",1,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 09:08:29,FALSE,NA,"1175698371102666752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","snavi447",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 09:02:18,FALSE,NA,"1175696815347261440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahulku39078700",2151,TRUE,FALSE,NA,NA
"Royal brides should be slender elegant uncontroversial Scarlet is none of those things And yet who has the p",FALSE,0,NA,2019-09-22 08:00:14,TRUE,NA,"1175681195499278336",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","K8JohnsonAuthor",0,FALSE,FALSE,NA,NA
"Let your glow be inside out when you accessorize our exquisite jewellery with your attire 

SKU Code YNL

yosshitan",FALSE,0,NA,2019-09-22 07:52:14,FALSE,NA,"1175679180199092224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">bridetobexoxo to zveil 1</a>","bridetobexoxo",1,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 07:41:38,FALSE,NA,"1175676512718090240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","siddhes72815054",2151,TRUE,FALSE,NA,NA
"Let your glow be inside out when you accessorize our exquisite jewellery with your attire 

SKU Code YNL",FALSE,0,NA,2019-09-22 07:15:00,TRUE,NA,"1175669809863741441",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","YosshitaNeha",1,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 07:03:22,FALSE,NA,"1175666884915671041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aryaaawn",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-22 06:12:35,FALSE,NA,"1175654101708759041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","star_neel95",2151,TRUE,FALSE,NA,NA
"Happy anniversary to one of our favoriteambassadorsanddown a lifetime to",FALSE,0,NA,2019-09-22 01:37:05,FALSE,NA,"1175584773248434176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScottTedro",1,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 22:39:17,FALSE,NA,"1175540024625942528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sri_me2",2151,TRUE,FALSE,NA,NA
"Happy anniversary to one of our favoriteambassadorsanddown a li",FALSE,7,NA,2019-09-21 21:51:02,TRUE,NA,"1175527882992410624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShoAirCG",1,FALSE,FALSE,NA,NA
"Lady Elizabeth Bowes Lyon the future Queen Elizabeth The Queen Mother was a bridesmaid to King George Vs only daughter Prince",FALSE,0,NA,2019-09-21 21:27:36,FALSE,NA,"1175521985578885120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farfel54",74,TRUE,FALSE,NA,NA
"Almostyears ago as Lady Elizabeth BowesLyon enteredon her wedding day she paused to lay her bouquet at the",FALSE,0,NA,2019-09-21 21:27:01,FALSE,NA,"1175521839193440258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farfel54",301,TRUE,FALSE,NA,NA
"Meghan Markles wedding veil revealed this about her role in the Royal Family expert says
RoyalWedding MeghanMarkle R",FALSE,0,NA,2019-09-21 21:06:25,FALSE,NA,"1175516657374154764",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sousaadriano2",1,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 17:47:52,FALSE,NA,"1175466688860418048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiddiqueRozmeen",2151,TRUE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 17:38:59,FALSE,NA,"1175464455087329280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rishika63441987",2151,TRUE,FALSE,NA,NA
"Meghan Markles wedding veil revealed this about her role in the Royal Family expert says
RoyalWedding",FALSE,3,NA,2019-09-21 17:19:00,TRUE,NA,"1175459423617085440",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Daily_Express",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-21 16:58:30,FALSE,NA,"1175454265722073093",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UzairShaikhDan2",2151,TRUE,FALSE,NA,NA
